id	title_total_words	title_general_disruption_words	title_protester_messaging_words	title_positive_comments_words	title_negative_comments_words	subtitle_total_words	subtitle_general_disruption_words	subtitle_protester_messaging_words	subtitle_positive_comments_words	subtitle_negative_comments_words	main_content_total_words	main_content_total_pictures	main_content_general_disruption_words	main_content_general_disruption_pictures	main_content_protester_messaging_words	main_content_protester_messaging_pictures	main_content_positive_comments_words	main_content_positive_comments_pictures	main_content_negative_comments_words	main_content_negative_comments_pictures	all_content_total_words	all_content_total_pictures	all_content_total_words_and_pictures	all_content_general_disruption_words	all_content_general_disruption_pictures	all_content_general_disruption_words_and_pictures	all_content_protester_messaging_words	all_content_protester_messaging_pictures	all_content_protester_messaging_words_and_pictures	all_content_positive_comments_words	all_content_positive_comments_pictures	all_content_positive_comments_words_and_pictures	all_content_negative_comments_words	all_content_negative_comments_pictures	all_content_negative_comments_words_and_pictures	tagging_error
The-Guardian_2024-09-21_Retired-priest-speaks	12	0	0	0	12	0	0	0	0	0	362	1	66	1	47	0	0	0	65	0	374	1	424	66	1	116	47	0	47	0	0	0	77	0	77	no
The-Guardian_2024-11-26_How-the-battle-of	16	0	0	0	0	22	0	0	0	0	393	3	245	3	29	0	0	0	0	0	431	3	581	245	3	395	29	0	29	0	0	0	0	0	0	no
The-Guardian_2025-01-08_Charges-against-34-people	11	11	0	0	0	0	0	0	0	0	297	1	158	1	58	0	0	0	0	0	308	1	358	169	1	219	58	0	58	0	0	0	0	0	0	no
The-Guardian_2025-08-20_Police-investigate-sabotage-claims	11	0	0	0	0	0	0	0	0	0	334	2	145	2	122	0	0	0	67	0	345	2	445	145	2	245	122	0	122	0	0	0	67	0	67	no
The-Guardian_None_Nearly-175-arrested	11	11	0	0	0	0	0	0	0	0	304	2	175	2	40	0	0	0	0	0	315	2	415	186	2	286	40	0	40	0	0	0	0	0	0	no
The-Times_2023-11-27_Climate-activists-glue-50	6	6	0	0	0	15	0	15	0	0	378	3	95	3	166	0	0	0	56	0	399	3	549	101	3	251	181	0	181	0	0	0	56	0	56	no
The-Times_2024-02-16_As-the-air-goes	15	15	0	0	0	16	0	0	0	0	385	3	340	3	11	0	0	0	50	0	416	3	566	355	3	505	11	0	11	0	0	0	50	0	50	no
The-Times_2024-05-18_Arrested-in-our-80s	13	0	0	0	0	0	0	0	0	0	383	3	60	0	64	0	0	0	0	0	396	3	546	60	0	60	64	0	64	0	0	0	0	0	0	no
The-Times_2024-06-02_Attacking-art-should-be	11	0	0	0	11	16	0	0	0	16	369	3	222	2	42	0	0	0	114	1	396	3	546	222	2	322	42	0	42	0	0	0	141	1	191	no
The-Times_2024-07-19_Police-fear-Just-Stop	11	0	0	0	0	29	29	0	0	0	384	3	67	1	0	0	25	0	0	0	424	3	574	96	1	146	0	0	0	25	0	25	0	0	0	no
The-Times_2024-07-27_Mum-got-four-years	12	0	0	0	0	31	12	0	0	0	379	3	227	2	89	0	0	0	17	0	422	3	572	239	2	339	89	0	89	0	0	0	17	0	17	no
